numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
65,0.35,-0.08,1.15,-37.98,-6.34,18.96
66,0.29,-0.13,0.90,-10.55,-17.50,-11.88
67,0.36,-0.23,1.05,-15.79,17.61,-4.94
68,0.35,-0.44,1.02,13.76,60.98,47.04
69,0.47,-0.37,1.22,70.53,-18.79,152.77
70,0.18,0.03,1.33,75.87,-92.52,71.76
71,0.11,0.08,1.20,30.91,-1.50,3.29
72,0.08,0.18,1.00,-27.73,-3.06,-32.79
73,0.08,0.20,0.92,-79.60,3.89,-67.08
74,0.41,-0.16,1.08,-36.89,25.79,-57.85
75,0.34,-0.20,1.29,-51.53,54.34,-43.15
76,0.32,-0.22,1.24,-23.32,168.28,-61.31
77,-0.14,-0.04,1.01,3.79,250.13,24.60
78,-0.72,-0.06,0.50,65.92,191.73,-42.16
79,-0.93,-0.13,0.34,19.75,115.82,-39.55
80,-0.98,0.09,-0.03,9.15,-81.62,-16.07
81,-0.12,-0.42,2.00,10.08,-170.75,49.15
82,-0.38,-0.49,0.76,-96.76,-250.14,-80.53
83,-0.16,-0.17,1.18,-147.00,-32.89,91.98
84,-0.31,-0.58,0.72,-126.88,-51.56,-79.85
85,-0.04,-0.67,0.61,-150.16,-9.69,-62.36
86,0.18,-0.74,0.63,-84.15,-86.19,-73.23
87,0.22,-0.96,0.50,42.38,-55.89,-10.65
88,0.09,-0.73,0.47,180.07,-34.53,43.69
89,0.17,-0.34,1.00,187.45,-69.41,87.79
90,0.17,-0.40,1.02,224.77,162.16,-87.01
91,0.01,0.12,1.17,248.73,-15.34,-22.68
92,-0.19,0.66,1.00,250.13,90.88,-27.58
93,-0.42,1.00,0.60,60.40,13.82,20.93
94,-0.29,0.85,0.68,24.52,34.98,11.73
95,-0.39,1.19,0.49,-1.89,-1.47,39.51
96,-0.36,0.94,0.55,-141.39,-23.82,45.56
97,-0.25,0.56,0.69,-232.12,-67.34,58.31
98,0.03,0.16,1.04,-250.14,-11.20,122.08
99,0.30,-0.54,1.26,-156.99,-52.50,60.12
100,0.27,-0.76,0.72,-161.31,-28.55,-25.56
101,0.42,-0.73,0.99,-10.69,53.65,-19.92
102,0.36,-0.62,0.89,-8.80,4.50,9.31
103,0.29,-0.59,0.85,-3.98,-13.17,12.62
104,0.32,-0.64,0.81,-6.85,1.02,-4.92
105,0.34,-0.62,0.83,-8.47,2.82,4.32
106,0.31,-0.62,0.81,0.58,15.38,-3.82
107,0.32,-0.66,0.76,-0.85,1.84,-23.73
108,0.41,-0.67,0.83,2.31,15.91,-11.83
109,0.34,-0.58,0.87,9.66,6.35,-6.92
110,0.36,-0.56,0.98,-3.43,10.69,2.75
111,0.34,-0.55,0.90,-5.94,-0.57,8.52
112,0.32,-0.60,0.87,3.38,0.56,-1.18
113,0.32,-0.63,0.84,3.08,2.94,3.35
114,0.31,-0.58,0.89,-5.69,2.25,5.67
115,0.28,-0.60,0.83,0.43,-9.85,1.15
116,0.31,-0.54,0.84,-0.34,7.21,1.54
